650,150,2,0,0
200,50,1,0,0
200,70,1,0,0
250,50,1,0,0
250,70,1,0,0
250,90,1,0,0
350,80,1,0,0
350,100,1,0,0
350,70,2,0,0
350,80,2,0,0
400,100,2,0,0
600,120,1,0,0
600,150,1,0,0
600,100,2,0,0
600,120,2,0,0
650,80,3,0,0
700,90,3,0,0
1000,120,3,1,250
1100,130,3,1,250
1100,120,3,1,300
1200,150,4,1,300
1500,100,5,1,300
1600,100,5,1,300
1600,90,5,1,320
1600,100,5,1,320
1600,120,5,1,320
1700,160,5,1,320
2000,160,7,1,350
2000,200,8,1,350
2200,200,8,1,360
2200,220,8,1,360
2500,250,8,2,250
2500,280,8,2,250
2700,250,10,2,280
2700,280,10,2,280
3000,250,10,2,300
3200,300,10,2,320
3300,320,12,2,320
3400,320,12,2,350
3400,350,10,2,360
4000,300,12,3,300
4100,320,12,3,320
4100,360,12,3,320
4200,360,12,3,350
4500,320,14,3,360
4500,360,14,3,360
4800,360,14,3,400
4800,320,12,3,400
4800,360,12,3,400
200,30,1,0,0
200,90,1,0,0
250,120,1,0,0
350,40,1,0,0
400,150,1,0,0
600,70,2,0,0
600,50,3,0,0
